Name,Speed(GHz),Cache(MB),Cores,Threads,Lithography (nm),Price (USD)
Core i3-530,2.93,4 MB,2,4,32,113
Core i3-540,3.07,4 MB,2,4,32,117
Core i5-750S,2.4,8 MB,4,4,45,259
Core i5-650,3.2,4 MB,2,4,32,176
Core i5-660,3.33,4 MB,2,4,32,196
Core i5-661,3.33,4 MB,2,4,32,196
Core i5-670,3.47,4 MB,2,4,32,284
Core i7-860S,2.53,8 MB,4,8,45,337
Core i7-930,2.8,8 MB,4,8,45,294
Core i7-980X,3.33,12 MB,6,12,32,999
Core i5-680,3.6,4 MB,2,4,32,294
Core i3-550,3.2,4 MB,2,4,32,138
Core i5-655K,3.2,4 MB,2,4,32,216
Core i7-875K,2.93,8 MB,4,8,45,342
Core i7-880,3.07,8 MB,4,8,45,583
Core i5-760,2.8,8 MB,4,4,45,205
Core i7-870S,2.67,8 MB,4,8,45,351
Core i7-970,3.2,12 MB,6,12,32,885
Core i3-560,3.33,4 MB,2,4,32,138
Core i5-2300,2.8,6 MB,4,4,32,177
Core i7-2600K,3.4,8 MB,4,8,32,317
Core i7-2600,3.4,8 MB,4,8,32,294
Core i7-2600S,2.8,8 MB,4,8,32,306
Core i3-2100,3.1,3 MB,2,4,32,117
Core i3-2120,3.3,3 MB,2,4,32,138
Core i3-2100T,3.3,3 MB,2,4,32,127
Core i5-2390T,2.7,3 MB,2,4,32,195
Core i7-990X,3.47,12 MB,6,12,32,999
Core i3-2105,3.1,3 MB,2,4,32,134
Core i5-2310,2.9,6 MB,4,4,32,177
Core i5-2405S,2.5,6 MB,4,4,32,205
Core i7-980,3.33,12 MB,6,12,32,583
Core i3-2125,3.3,3 MB,2,4,32,134
Core i3-2130,3.4,3 MB,2,4,32,138
Core i3-2120T,2.5,3 MB,2,4,32,127
Core i5-2320,3,6 MB,4,4,32,177
Core i7-2700K,3.5,8 MB,4,8,32,332
Core i7-3930K,3.2,12 MB,6,12,32,583
Core i7-3960X,3.3,15 MB,6,12,32,999
Core i5-2380P,3.1,6 MB,4,4,32,177
Core i5-2400,3.1,6 MB,4,4,32,184
Core i5-2450P,3.2,6 MB,4,4,32,195
Core i5-2500,3.3,6 MB,4,4,32,205
Core i5-2500K,3.3,6 MB,4,4,32,216
Core i5-2550K,3.4,6 MB,4,4,32,225
Core i5-2400S,2.5,6 MB,4,4,32,195
Core i5-2500S,2.7,6 MB,4,4,32,216
Core i5-2500T,2.3,6 MB,4,4,32,216
Core i7-3820,3.6,10 MB,4,8,32,294
Core i5-3450,3.1,6 MB,4,4,22,184
Core i5-3550,3.3,6 MB,4,4,22,205
Core i5-3570K,3.4,6 MB,4,4,22,225
Core i5-3450S,2.8,6 MB,4,4,22,184
Core i5-3550S,3,6 MB,4,4,22,205
Core i5-3570T,2.3,6 MB,4,4,22,205
Core i7-3770K,3.5,8 MB,4,8,22,342
Core i7-3770,3.4,8 MB,4,8,22,272
Core i7-3770S,3.1,8 MB,4,8,22,294
Core i7-3770T,2.5,8 MB,4,8,22,294
Core i5-3470T,2.9,3 MB,2,4,22,184
Core i5-3470,3.2,6 MB,4,4,22,184
Core i5-3570,3.4,6 MB,4,4,22,205
Core i5-3470S,2.9,6 MB,4,4,22,184
Core i5-3475S,2.9,6 MB,4,4,22,201
Core i5-3570S,3.1,6 MB,4,4,22,205
Core i3-3225,3.3,3 MB,2,4,22,134
Core i3-3240,3.4,3 MB,2,4,22,138
Core i3-3220,3.3,3 MB,2,4,22,117
Core i3-3220T,2.8,3 MB,2,4,22,117
Core i3-3240T,2.9,3 MB,2,4,22,138
Core i5-3330,3,6 MB,4,4,22,182
Core i5-3350P,3.1,6 MB,4,4,22,177
Core i5-3330S,2.7,6 MB,4,4,22,177
Core i5-3335S,2.7,6 MB,4,4,22,194
Core i7-3970X,3.5,15 MB,6,12,32,999
Core i3-3210,3.2,3 MB,2,4,22,117
Core i3-3245,3.4,3 MB,2,4,22,134
Core i3-3250,3.5,3 MB,2,4,22,138
Core i3-3250T,3,3 MB,2,4,22,138
Core i5-4570T,2.9,4 MB,2,4,22,192
Core i5-4570TE,2.7,4 MB,2,4,22,192
Core i5-4430,3,6 MB,4,4,22,182
Core i5-4570,3.2,6 MB,4,4,22,192
Core i5-4670,3.4,6 MB,4,4,22,213
